,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Would you have been willing to discuss a mental health issue with your direct supervisor(s)?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your age?,What is your gender?,What country do you work in?,Do you work remotely?
777,Yes,Yes,Yes,Yes,I don't know,I don't know,No,No,Maybe,Yes,Yes,Yes,Some of my previous employers,"Yes, I think it would",Maybe,Somewhat open,"Yes, I observed",Yes,No,Yes,Maybe,Yes,1,Rarely,Sometimes,29,Female,United States of America,Never
778,I don't know,No,Yes,Yes,Yes,Somewhat easy,No,No,Maybe,Yes,Yes,Yes,,"Yes, I think it would","Yes, I think they would",Somewhat open,N/A,,No,No,No,No,0,Not applicable to me,Not applicable to me,23,Male,United States of America,Sometimes
779,I don't know,Yes,No,Yes,Yes,Very easy,No,No,No,Yes,I don't know,No,"Yes, at all of my previous employers","No, I don't think it would","No, I don't think they would",Somewhat not open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,24,Female,United States of America,Sometimes
780,I don't know,I am not sure,No,No,I don't know,I don't know,Maybe,No,No,Maybe,No,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Neutral,No,,Yes,Yes,Yes,Yes,1,Sometimes,Often,22,Male,United States of America,Never
781,No,Yes,No,No,No,Somewhat easy,Maybe,Maybe,No,No,No,No,Some of my previous employers,"Yes, I think it would","No, I don't think they would",Somewhat open,Maybe/Not sure,No,Yes,Maybe,Maybe,No,0,Not applicable to me,Sometimes,32,Male,United States of America,Sometimes
782,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Maybe,No,Yes,Maybe,I don't know,No,Some of my previous employers,Maybe,"No, I don't think they would",Somewhat open,Maybe/Not sure,No,No,Yes,Yes,Yes,1,Rarely,Sometimes,35,Female,United States of America,Always
783,Yes,Yes,No,I don't know,I don't know,Very easy,Maybe,No,No,Yes,I don't know,No,Some of my previous employers,"No, I don't think it would","No, I don't think they would",Somewhat not open,No,,No,Yes,Yes,Yes,1,Sometimes,Sometimes,26,Male,United States of America,Sometimes
784,,,,,,,,,,,,,Some of my previous employers,Maybe,"No, they do not",Very open,"Yes, I experienced",Maybe,Yes,Yes,Yes,Yes,1,Rarely,Often,32,Male,United States of America,Sometimes
785,Yes,Yes,Yes,Yes,I don't know,Very easy,No,No,Yes,Yes,Yes,No,"Yes, at all of my previous employers","No, I don't think it would","No, I don't think they would",Very open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,33,Male,United States of America,Always
786,Yes,Yes,No,Yes,Yes,Somewhat easy,No,No,Yes,Yes,I don't know,No,"No, at none of my previous employers","No, I don't think it would","No, I don't think they would",Somewhat open,Maybe/Not sure,No,I don't know,No,Yes,Yes,1,Sometimes,Often,28,Male,United States of America,Sometimes
787,I don't know,No,No,I don't know,I don't know,Somewhat easy,Maybe,Maybe,Maybe,Maybe,I don't know,No,,"No, I don't think it would","No, I don't think they would",Somewhat not open,No,,I don't know,Maybe,Maybe,No,1,Never,Sometimes,22,Female,United States of America,Sometimes
788,Yes,Yes,No,I don't know,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Maybe,I don't know,No,Some of my previous employers,Maybe,Maybe,Somewhat open,No,,I don't know,Maybe,Maybe,No,0,Not applicable to me,Not applicable to me,30,Male,United States of America,Always
789,I don't know,I am not sure,No,Yes,Yes,Somewhat difficult,Maybe,Maybe,Maybe,Maybe,No,No,I don't know,Maybe,Maybe,Somewhat open,"Yes, I experienced",No,No,No,Yes,Yes,1,Often,Often,29,Male,United States of America,Never
790,I don't know,No,No,No,I don't know,Somewhat easy,Maybe,No,No,No,No,No,,Maybe,"No, I don't think they would",Somewhat open,No,,Yes,No,Yes,No,0,Sometimes,Often,22,Male,United States of America,Sometimes
791,,,,,,,,,,,,,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Neutral,"Yes, I experienced",Yes,Yes,Yes,Yes,Yes,1,Sometimes,Often,24,Female,United States of America,Sometimes
792,Yes,Yes,No,Yes,I don't know,Somewhat easy,Maybe,No,Maybe,Maybe,Yes,No,Some of my previous employers,"Yes, it has","Yes, I think they would",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Maybe,Yes,1,Rarely,Sometimes,30,Male,United States of America,Sometimes
793,,,,,,,,,,,,,Some of my previous employers,Maybe,Maybe,Somewhat open,No,,Yes,Maybe,Maybe,No,1,Rarely,Sometimes,25,Male,United States of America,Always
794,Yes,I am not sure,I don't know,Yes,Yes,Somewhat difficult,Maybe,No,Maybe,Maybe,I don't know,No,"No, at none of my previous employers",Maybe,"Yes, I think they would",Somewhat not open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,39,Male,United States of America,Sometimes
795,,,,,,,,,,,,,Some of my previous employers,"No, it has not","No, I don't think they would",Very open,No,,Yes,Yes,Yes,Yes,1,Never,Often,25,Male,United States of America,Sometimes
796,Yes,I am not sure,Yes,Yes,I don't know,Somewhat difficult,Maybe,No,No,Maybe,I don't know,No,"No, at none of my previous employers",Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),Maybe/Not sure,N/A,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,39,Male,United States of America,Sometimes
797,Yes,Yes,No,Yes,I don't know,Somewhat difficult,Maybe,No,No,No,I don't know,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Neutral,No,,Yes,Yes,Yes,Yes,1,Rarely,Often,31,Female,United States of America,Always
798,Yes,No,No,I don't know,I don't know,I don't know,Yes,Maybe,Maybe,No,I don't know,No,"No, at none of my previous employers",Maybe,Maybe,Very open,Maybe/Not sure,Yes,Yes,Yes,Maybe,No,0,Not applicable to me,Not applicable to me,35,Male,United States of America,Sometimes
799,,,,,,,,,,,,,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Very open,"Yes, I experienced",Maybe,No,Yes,Yes,Yes,1,Sometimes,Often,31,Female,United States of America,Always
800,No,I am not sure,No,No,I don't know,Very difficult,Yes,Maybe,No,No,No,Yes,,"Yes, I think it would","Yes, I think they would",Neutral,"Yes, I observed",Yes,I don't know,Yes,Yes,Yes,1,Sometimes,Often,23,Male,United States of America,Sometimes
801,Yes,I am not sure,Yes,Yes,I don't know,Very difficult,Maybe,No,No,No,I don't know,Yes,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Maybe,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,30,Male,United States of America,Never
802,Yes,Yes,No,No,Yes,Neither easy nor difficult,No,No,Maybe,Yes,I don't know,No,Some of my previous employers,Maybe,Maybe,Somewhat open,Maybe/Not sure,Maybe,Yes,Maybe,Yes,Yes,1,Sometimes,Sometimes,26,Female,United States of America,Never
803,Yes,Yes,No,No,I don't know,Very difficult,Maybe,No,Maybe,Maybe,No,No,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I observed",Yes,Yes,Yes,Maybe,Yes,1,Rarely,Often,24,Female,United States of America,Never
804,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,No,Maybe,No,No,Some of my previous employers,Maybe,Maybe,Very open,"Yes, I observed",Yes,No,No,No,No,0,Not applicable to me,Not applicable to me,32,Male,United States of America,Never
805,,,,,,,,,,,,,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,Yes,1,Rarely,Often,35,Male,United States of America,Always
806,Yes,I am not sure,No,No,I don't know,Somewhat difficult,Maybe,Maybe,No,Maybe,I don't know,No,Some of my previous employers,"No, I don't think it would","No, I don't think they would",Very open,No,,No,Yes,Yes,Yes,1,Rarely,Often,32,Male,United States of America,Sometimes
807,Yes,Yes,No,No,I don't know,I don't know,Maybe,No,No,No,I don't know,No,,"Yes, I think it would","Yes, I think they would",Very open,No,,No,Yes,Maybe,Yes,1,Rarely,Often,35,Male,United States of America,Never
808,I don't know,Yes,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe,No,No,I don't know,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Somewhat not open,No,,I don't know,Maybe,Maybe,Yes,1,Rarely,Rarely,26,Female,United States of America,Always
809,Yes,I am not sure,Yes,Yes,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,Some of my previous employers,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,30,Female,United States of America,Sometimes
810,Yes,No,No,I don't know,Yes,Somewhat difficult,Maybe,No,Maybe,No,I don't know,No,Some of my previous employers,"Yes, I think it would",Maybe,Somewhat open,"Yes, I experienced",Maybe,I don't know,Yes,Maybe,No,1,Sometimes,Often,29,Male,United States of America,Never
811,Yes,No,No,No,I don't know,Very difficult,Yes,Maybe,No,No,No,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Neutral,"Yes, I observed",Yes,No,No,No,No,0,Not applicable to me,Not applicable to me,35,Male,United States of America,Sometimes
812,Not eligible for coverage / N/A,Yes,No,No,No,I don't know,Yes,Yes,No,No,I don't know,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I experienced",N/A,Yes,Yes,Yes,Yes,1,Sometimes,Often,25,Female,United States of America,Sometimes
813,Not eligible for coverage / N/A,N/A,Yes,Yes,Yes,Neither easy nor difficult,Maybe,No,Yes,Maybe,Yes,No,"No, at none of my previous employers","Yes, I think it would",Maybe,Somewhat open,No,,Yes,Yes,Maybe,Yes,1,Sometimes,Often,22,Genderqueer/Other,United States of America,Never
814,Yes,No,No,No,I don't know,Somewhat difficult,Yes,No,Maybe,No,No,No,,"Yes, I think it would","No, I don't think they would",Somewhat not open,No,,Yes,Yes,Yes,Yes,1,Rarely,Often,23,Male,United States of America,Sometimes
815,Yes,Yes,No,I don't know,I don't know,Very difficult,Yes,Maybe,No,No,No,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I experienced",N/A,Yes,Yes,Yes,Yes,1,Rarely,Rarely,28,Male,United States of America,Always
816,Yes,Yes,No,No,I don't know,Very easy,No,No,Yes,Yes,I don't know,No,"No, at none of my previous employers","No, I don't think it would","No, I don't think they would",Somewhat open,No,,Yes,Yes,Yes,Yes,1,Sometimes,Often,30,Male,United States of America,Never
817,Yes,Yes,No,No,Yes,Somewhat easy,No,No,Maybe,Yes,I don't know,No,I don't know,Maybe,"No, I don't think they would",Neutral,Maybe/Not sure,N/A,Yes,Maybe,Yes,Yes,1,Sometimes,Sometimes,28,Male,United States of America,Sometimes
818,Yes,Yes,Yes,Yes,I don't know,Very easy,No,No,Yes,Yes,Yes,No,Some of my previous employers,"Yes, I think it would",Maybe,Somewhat not open,No,,Yes,Yes,Maybe,Yes,1,Rarely,Sometimes,28,Female,United States of America,Always
819,Yes,No,No,Yes,I don't know,I don't know,Maybe,Maybe,Maybe,Yes,No,No,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Neutral,No,,Yes,Yes,Yes,Yes,0,Not applicable to me,Often,37,Male,United States of America,Never
820,No,Yes,Yes,No,No,I don't know,Maybe,No,Maybe,Yes,Yes,No,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,No,Yes,Yes,Yes,Yes,0,Sometimes,Sometimes,30,Male,United States of America,Sometimes
821,Yes,I am not sure,No,No,Yes,Very easy,Yes,Yes,No,No,Yes,No,,"Yes, I think it would","Yes, I think they would",Neutral,"Yes, I observed",Yes,No,Yes,Yes,Yes,1,Often,Often,22,Female,United States of America,Sometimes
822,Not eligible for coverage / N/A,I am not sure,Yes,Yes,Yes,Neither easy nor difficult,No,No,Maybe,Maybe,No,No,,Maybe,Maybe,Very open,Maybe/Not sure,Maybe,No,No,No,No,0,Sometimes,Sometimes,24,Male,United States of America,Sometimes
823,Yes,Yes,No,I don't know,Yes,Somewhat easy,No,No,Yes,Yes,I don't know,No,"Yes, at all of my previous employers","No, I don't think it would","No, they do not",Very open,No,,Yes,Yes,Yes,Yes,1,Rarely,Often,24,Female,United States of America,Sometimes
824,Yes,Yes,No,I don't know,Yes,Very difficult,No,No,Yes,Maybe,No,No,Some of my previous employers,"Yes, I think it would",Maybe,Somewhat open,Maybe/Not sure,No,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,36,Female,United States of America,Never
825,Not eligible for coverage / N/A,I am not sure,No,I don't know,I don't know,Very difficult,Maybe,No,Maybe,No,I don't know,No,,Maybe,"No, I don't think they would",Somewhat not open,Maybe/Not sure,Maybe,Yes,Yes,Yes,Yes,1,Sometimes,Often,24,Female,United States of America,Never
826,No,No,No,No,I don't know,Somewhat easy,Maybe,No,No,Maybe,I don't know,No,,Maybe,Maybe,Somewhat not open,Maybe/Not sure,No,No,No,No,No,0,Not applicable to me,Not applicable to me,24,Male,United States of America,Never
827,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,Maybe,Yes,No,No,Yes,"No, at none of my previous employers",Maybe,Maybe,Neutral,No,,Yes,Yes,Yes,Yes,1,Sometimes,Often,41,Male,United States of America,Sometimes
828,Yes,No,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Yes,No,"No, at none of my previous employers",Maybe,"No, I don't think they would",Very open,"Yes, I experienced",Yes,Yes,Yes,Yes,Yes,1,Rarely,Often,38,Female,United States of America,Always
829,,,,,,,,,,,,,Some of my previous employers,Maybe,Maybe,Somewhat open,Maybe/Not sure,N/A,Yes,No,No,No,1,Not applicable to me,Not applicable to me,34,Female,United States of America,Sometimes
830,Yes,Yes,Yes,Yes,I don't know,Somewhat difficult,Maybe,Maybe,Yes,Yes,I don't know,Yes,Some of my previous employers,"Yes, it has","No, I don't think they would",Somewhat open,"Yes, I observed",Yes,Yes,Yes,Maybe,Yes,1,Rarely,Sometimes,52,Male,United States of America,Sometimes
831,I don't know,I am not sure,No,Yes,I don't know,Somewhat difficult,Maybe,No,Maybe,Yes,No,No,"No, at none of my previous employers","No, I don't think it would","No, I don't think they would",Somewhat open,"Yes, I experienced",Maybe,Yes,Maybe,Yes,Yes,0,Sometimes,Often,30,Female,United States of America,Sometimes
832,,,,,,,,,,,,,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Neutral,"Yes, I observed",Maybe,No,Yes,Yes,Yes,1,Often,Often,63,Male,United States of America,Always
833,No,No,No,No,I don't know,I don't know,Yes,Maybe,No,No,I don't know,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Very open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,27,Female,United States of America,Always
834,,,,,,,,,,,,,Some of my previous employers,Maybe,"No, I don't think they would",Very open,"Yes, I observed",No,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,34,Male,United States of America,Sometimes
835,,,,,,,,,,,,,Some of my previous employers,Maybe,Maybe,Very open,No,,Yes,Yes,Yes,No,0,Not applicable to me,Sometimes,26,Male,United States of America,Always
836,I don't know,I am not sure,No,I don't know,I don't know,I don't know,Maybe,Maybe,Maybe,Maybe,I don't know,No,Some of my previous employers,"Yes, I think it would",Maybe,Very open,"Yes, I observed",Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,30,Male,United States of America,Always
837,Not eligible for coverage / N/A,N/A,No,No,I don't know,Very easy,No,No,Maybe,Yes,I don't know,No,Some of my previous employers,Maybe,"No, I don't think they would",Somewhat open,No,,No,Yes,No,Yes,0,Not applicable to me,Not applicable to me,39,Male,United Kingdom,Sometimes
838,No,N/A,No,No,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Maybe,I don't know,No,I don't know,Maybe,Maybe,Somewhat open,Maybe/Not sure,Yes,No,Maybe,No,No,1,Not applicable to me,Not applicable to me,38,Male,United Kingdom,Always
839,,,,,,,,,,,,,Some of my previous employers,"Yes, I think it would",Maybe,Neutral,No,,No,Yes,Yes,Yes,1,Sometimes,Sometimes,43,Male,United Kingdom,Sometimes
840,Yes,I am not sure,No,Yes,Yes,Somewhat easy,Yes,Yes,Maybe,Yes,No,Yes,"No, at none of my previous employers","Yes, I think it would",Maybe,Somewhat open,"Yes, I experienced",No,No,No,Yes,No,1,Not applicable to me,Often,42,Male,United Kingdom,Sometimes
841,No,No,No,No,I don't know,I don't know,Maybe,No,Yes,Maybe,No,No,Some of my previous employers,Maybe,Maybe,Somewhat open,Maybe/Not sure,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,34,Male,United Kingdom,Never
842,I don't know,No,Yes,Yes,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Maybe,I don't know,Yes,"No, at none of my previous employers","Yes, I think it would","No, I don't think they would",Neutral,"Yes, I observed",Yes,Yes,Yes,Maybe,No,1,Sometimes,Often,34,Female,United Kingdom,Never
843,Not eligible for coverage / N/A,N/A,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Yes,No,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I observed",Maybe,Yes,Yes,Yes,Yes,1,Sometimes,Often,32,Genderqueer/Other,United Kingdom,Never
844,Yes,I am not sure,No,I don't know,Yes,Very easy,No,No,Maybe,Yes,Yes,No,"No, at none of my previous employers","No, I don't think it would","No, I don't think they would",Somewhat not open,Maybe/Not sure,No,No,Yes,Yes,No,0,Not applicable to me,Sometimes,36,Male,United Kingdom,Sometimes
845,No,Yes,No,No,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No,Some of my previous employers,Maybe,"Yes, I think they would",Somewhat open,"Yes, I observed",Yes,No,No,Maybe,No,0,Never,Sometimes,29,Male,United Kingdom,Never
846,No,I am not sure,Yes,No,I don't know,Somewhat easy,No,No,Maybe,Yes,I don't know,No,Some of my previous employers,Maybe,"No, I don't think they would",Very open,No,,Yes,Yes,Maybe,Yes,1,Rarely,Sometimes,29,Male,United Kingdom,Sometimes
847,,,,,,,,,,,,,I don't know,"No, I don't think it would",Maybe,Neutral,Maybe/Not sure,N/A,Yes,Yes,Maybe,Yes,1,Not applicable to me,Not applicable to me,43,Male,United Kingdom,Sometimes
848,Not eligible for coverage / N/A,N/A,No,No,I don't know,Very difficult,Yes,No,No,Maybe,No,No,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Yes,No,Yes,Maybe,Yes,1,Rarely,Often,27,Male,United Kingdom,Never
849,,,,,,,,,,,,,"No, at none of my previous employers",Maybe,Maybe,Somewhat not open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,38,Male,United Kingdom,Sometimes
850,Yes,Yes,No,I don't know,Yes,I don't know,No,No,Maybe,Yes,I don't know,No,Some of my previous employers,Maybe,Maybe,Somewhat open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,21,Male,United Kingdom,Never
851,I don't know,I am not sure,No,I don't know,I don't know,Somewhat difficult,Maybe,No,No,No,No,No,Some of my previous employers,"Yes, it has","Yes, they do",Neutral,"Yes, I experienced",No,I don't know,Yes,Yes,Yes,1,Sometimes,Often,35,Male,United Kingdom,Sometimes
852,No,N/A,Yes,I don't know,I don't know,Neither easy nor difficult,No,No,Maybe,Yes,Yes,No,"No, at none of my previous employers",Maybe,Maybe,Somewhat open,Maybe/Not sure,No,No,No,Yes,No,0,Rarely,Sometimes,26,Male,United Kingdom,Sometimes
853,I don't know,I am not sure,No,No,I don't know,Neither easy nor difficult,No,No,Yes,Yes,I don't know,No,Some of my previous employers,Maybe,"No, I don't think they would",Very open,No,,Yes,No,Maybe,No,0,Rarely,Rarely,30,Male,United Kingdom,Sometimes
854,I don't know,I am not sure,I don't know,No,I don't know,I don't know,Maybe,Maybe,Maybe,Maybe,I don't know,No,,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,,Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,21,Male,United Kingdom,Never
855,Yes,Yes,No,Yes,I don't know,I don't know,Maybe,No,No,No,I don't know,No,"No, at none of my previous employers",Maybe,Maybe,Somewhat not open,No,,I don't know,No,Maybe,No,0,Not applicable to me,Sometimes,40,Male,United Kingdom,Never
856,No,N/A,Yes,No,Yes,Somewhat easy,No,No,Yes,Yes,Yes,No,I don't know,Maybe,Maybe,Neutral,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,31,Male,United Kingdom,Sometimes
857,No,N/A,No,Yes,I don't know,Very easy,No,No,Yes,Yes,Yes,No,I don't know,Maybe,"No, I don't think they would",Very open,No,,I don't know,Maybe,No,No,0,Not applicable to me,Not applicable to me,37,Male,United Kingdom,Sometimes
858,I don't know,I am not sure,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe,No,No,Yes,No,,"Yes, I think it would","No, I don't think they would",Somewhat open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,37,Male,United Kingdom,Never
859,,,,,,,,,,,,,Some of my previous employers,Maybe,Maybe,Somewhat open,No,,No,Maybe,Maybe,No,1,Not applicable to me,Not applicable to me,48,Male,United Kingdom,Sometimes
860,No,I am not sure,No,No,I don't know,Somewhat easy,Maybe,No,Yes,Yes,No,No,Some of my previous employers,"Yes, I think it would",Maybe,Very open,No,,I don't know,Yes,Yes,Yes,1,Sometimes,Often,35,Male,United Kingdom,Never
861,,,,,,,,,,,,,Some of my previous employers,Maybe,"No, I don't think they would",Not open at all,No,,Yes,Yes,Yes,Yes,1,Often,Often,38,Male,United Kingdom,Always
862,I don't know,N/A,No,I don't know,Yes,Very easy,No,No,Yes,Yes,I don't know,No,"Yes, at all of my previous employers","No, I don't think it would","No, I don't think they would",Very open,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,35,Male,United Kingdom,Always
863,Not eligible for coverage / N/A,N/A,No,No,No,Somewhat easy,No,No,Maybe,Maybe,Yes,No,,"No, I don't think it would","No, I don't think they would",Somewhat not open,N/A,,No,No,No,No,0,Not applicable to me,Not applicable to me,24,Male,United Kingdom,Sometimes
864,Yes,I am not sure,No,Yes,I don't know,Somewhat easy,No,No,Maybe,Maybe,No,No,"No, at none of my previous employers",Maybe,"No, I don't think they would",Neutral,No,,No,No,No,No,0,Not applicable to me,Not applicable to me,37,Male,United Kingdom,Always
865,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Yes,Yes,I don't know,No,Some of my previous employers,"Yes, it has","No, they do not",Somewhat open,"Yes, I experienced",Maybe,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,30,Female,United Kingdom,Sometimes
866,Yes,Yes,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Yes,No,Some of my previous employers,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,31,Male,United Kingdom,Always
867,Not eligible for coverage / N/A,N/A,Yes,Yes,Yes,Very easy,Yes,No,Maybe,Maybe,Yes,No,"No, at none of my previous employers","Yes, it has","No, I don't think they would",Somewhat open,"Yes, I experienced",N/A,No,Yes,Yes,Yes,1,Sometimes,Often,45,Male,United Kingdom,Sometimes
868,I don't know,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Maybe,I don't know,No,Some of my previous employers,"Yes, I think it would",Maybe,Somewhat open,Maybe/Not sure,Yes,No,Maybe,No,No,0,Not applicable to me,Not applicable to me,38,Male,United Kingdom,Never
869,No,No,No,No,I don't know,Very difficult,Yes,Maybe,No,No,No,Yes,"No, at none of my previous employers","Yes, it has","No, I don't think they would",Somewhat not open,"Yes, I experienced",Yes,Yes,Yes,Yes,Yes,1,Often,Often,27,Female,United Kingdom,Sometimes
870,,,,,,,,,,,,,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Very open,Maybe/Not sure,Yes,Yes,Maybe,Maybe,No,0,Sometimes,Sometimes,44,Male,United Kingdom,Never
871,I don't know,I am not sure,No,I don't know,I don't know,I don't know,No,No,Maybe,Maybe,I don't know,No,"No, at none of my previous employers",Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),Maybe/Not sure,Maybe,I don't know,Yes,Maybe,Yes,1,Rarely,Sometimes,26,Genderqueer/Other,United Kingdom,Sometimes
872,I don't know,No,Yes,I don't know,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No,,Maybe,Maybe,Somewhat open,No,,Yes,Maybe,Maybe,No,0,Rarely,Sometimes,26,Male,United Kingdom,Never
873,No,No,No,No,I don't know,Very easy,No,No,Maybe,Maybe,I don't know,No,Some of my previous employers,"No, I don't think it would","No, I don't think they would",Somewhat open,No,,Yes,Yes,Yes,Yes,1,Sometimes,Often,30,Male,United Kingdom,Sometimes
874,,,,,,,,,,,,,"No, at none of my previous employers","Yes, I think it would","Yes, I think they would",Not open at all,"Yes, I observed",Yes,Yes,Yes,Yes,Yes,1,Sometimes,Often,34,Male,United Kingdom,Sometimes
875,I don't know,N/A,No,No,I don't know,Neither easy nor difficult,No,No,Maybe,Maybe,I don't know,No,Some of my previous employers,Maybe,Maybe,Neutral,"Yes, I observed",N/A,No,No,No,No,0,Not applicable to me,Not applicable to me,22,Male,United Kingdom,Sometimes
876,Not eligible for coverage / N/A,N/A,No,No,No,Somewhat difficult,No,No,No,Yes,I don't know,No,"No, at none of my previous employers",Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),Maybe/Not sure,Maybe,I don't know,Yes,Maybe,No,1,Not applicable to me,Not applicable to me,28,Genderqueer/Other,United Kingdom,Never
877,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Yes,Yes,Yes,No,I don't know,"Yes, I think it would",Maybe,Very open,"Yes, I experienced",Yes,Yes,Yes,Yes,Yes,1,Sometimes,Often,31,Male,United Kingdom,Always
878,Not eligible for coverage / N/A,N/A,No,No,I don't know,Somewhat easy,Maybe,No,Yes,Yes,No,No,"No, at none of my previous employers","No, I don't think it would","No, they do not",Somewhat open,"Yes, I observed",No,Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,24,Male,United Kingdom,Sometimes
879,No,No,I don't know,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,Yes,No,Some of my previous employers,"Yes, I think it would","No, I don't think they would",Somewhat not open,No,,Yes,Yes,No,Yes,1,Sometimes,Often,21,Male,United Kingdom,Never
880,I don't know,No,No,Yes,I don't know,Neither easy nor difficult,Maybe,No,No,Maybe,Yes,No,Some of my previous employers,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,No,Yes,Yes,Yes,Yes,1,Rarely,Often,32,Female,United Kingdom,Never
